MattBlack,DryadBark,11.04
MattBlack,SmokeyInk,3.09
MattBlack,Black,7.38
MattBlack,BattlefieldBrown,8.87
MattWhite,CeramiteWhite,0
MattWhite,DeadWhite,0
MattWhite,White,0
MattWhite,MorrowWhite,1.84
PureRed,WildRiderRed,4.97
PureRed,BloodyRed,3.53
PureRed,Vermillion,1.61
PureRed,SkorneRed,6.96
DragonRed,MephistonRed,4.82
DragonRed,HeavyRed,6.02
DragonRed,Red,6.71
DragonRed,SkorneRed,5.28
LavaOrange,TrollSlayerOrange,5.1
LavaOrange,HeavyOrange,1.61
LavaOrange,GermanOrange,1.92
LavaOrange,KhadorRedBase,7.63
DaemonicYellow,YrielYellow,1.04
DaemonicYellow,SunYellow,4.06
DaemonicYellow,DeepYellow,2.92
DaemonicYellow,SulfuricYellow,3.57
NecroticFlesh,KriegKhaki,3.9
NecroticFlesh,DeadFlesh,4.54
NecroticFlesh,Buff,5.13
NecroticFlesh,HammerfallKhaki,4.08
GoblinGreen,WarbossGreen,7.23
GoblinGreen,GoblinGreen,8.21
GoblinGreen,GermanCam.BrightGreen,4.24
GoblinGreen,IosanGreen,10.93
ArmyGreen,DeathWorldForest,5.47
ArmyGreen,CamoflageGreen,2.95
ArmyGreen,LuftwaffeCam.Green,6.2
ArmyGreen,BattledressGreen,5.52
Greenskin,Waaagh!Flesh,5.65
Greenskin,SickGreen,1.99
Greenskin,FlatGreen,3.24
Greenskin,GnarlsGreen,0.08
AngelGreen,CalibanGreen,1.72
AngelGreen,DarkGreen,4.62
AngelGreen,YellowOlive,7.19
AngelGreen,CryxBaneBase,8.41
ElectricBlue,HoethBlue,5.25
ElectricBlue,ElectricBlue,5.62
ElectricBlue,AndreaBlue,4.38
ElectricBlue,CygnarBlueHighlight,10.5
CrystalBlue,HoethBlue,4.6
CrystalBlue,ElectricBlue,5.5
CrystalBlue,AndreaBlue,3.95
CrystalBlue,CygnarBlueHighlight,6.31
UltramarineBlue,AlaitocBlue,3.97
UltramarineBlue,MagicBlue,5.14
UltramarineBlue,RoyalBlue,6.55
UltramarineBlue,CygnarBaseBlue,7.95
DeepBlue,StegadonScaleGreen,7.18
DeepBlue,RoyalPurple,9.85
DeepBlue,DarkPrussianBlue,3.86
DeepBlue,ExileBlue,10.15
AshGrey,AdministratumGrey,4.54
AshGrey,HeavyBlueGrey,2.86
AshGrey,BlueGreyPale,2.21
AshGrey,IronhullGrey,6.94
UniformGrey,WarpfiendGrey,4.7
UniformGrey,ColdGrey,3.02
UniformGrey,NeutralGrey,5.5
UniformGrey,GreatcoatGrey,7.35
WolfGrey,RussGrey,3.86
WolfGrey,SteelGrey,3.36
WolfGrey,PastelBlue,3.43
WolfGrey,TrollbloodBase,10.43
MonsterBrown,XV-88,5.72
MonsterBrown,LeatherBrown,3.36
MonsterBrown,FlatEarth,3.74
MonsterBrown,BootstrapLeather,5.57
DesertYellow,KarakStone,7.63
DesertYellow,PlagueBrown,2.14
DesertYellow,YellowOchre,3.69
DesertYellow,RucksackTan,5.11
FurBrown,SquigOrange,6.91
FurBrown,ParasiteBrown,4.19
